,Avg Filter HL,Avg Noise HL,Improv HL
P297,0.009664258272336034,0.15899123872266127,93.92
P298,0.03867744039013232,0.12415751131726432,68.85
P299,0.003747293236956276,0.261543632189034,98.57
P300,0.03808355810350205,0.15512754362368486,75.45
P301,0.019162797484590485,0.17962483102860394,89.33
P302,0.05090109459927529,0.2784185244123292,81.72
P303,0.023503761066113293,0.34142851510506167,93.12
P305,0.1145248488855258,0.27549476911918946,58.43
P306,0.028670621694665947,0.33171466788323056,91.36
P308,0.04567006439928215,0.08686523092587708,47.42
P309,0.04037554684798726,0.305040850113888,86.76
P310,0.011024385019649845,0.1704722790413636,93.53
P311,0.06215004585704227,0.28005751356298153,77.81
P312,0.06692536819030472,0.19565510556353535,65.79
P314,0.0665859975578489,0.0973282377431151,31.59
P315,0.022591128634692394,0.12779683679023582,82.32
P316,0.04452667195172743,0.23834288506928658,81.32
P319,0.07123004927828928,0.13054985497306576,45.44
P320,0.0009516832484416092,0.24698897465204964,99.61
P321,0.026608278085641614,0.2444138393656682,89.11
P322,0.09490694405020408,0.23878466840263488,60.25
P324,0.024576024987719255,0.17091315743295063,85.62
P325,0.07607630643612852,0.27140548258941416,71.97
P327,0.0070682022018923076,0.2181681426065322,96.76
P330,0.017293731267455672,0.20106270379383515,91.4
P331,0.048958714251544314,0.2016795237409979,75.72
P332,0.0694927529659302,0.24522085160543233,71.66
P333,0.010742397945751134,0.24142803866294532,95.55
P335,0.05424642193838735,0.1444054805062464,62.43
P336,0.022095845027444206,0.2180316875782414,89.87
P337,0.04957351545049833,0.2613718444100255,81.03
P338,0.06912563226760626,0.3166689647084234,78.17
P339,0.03946928661836257,0.20529447572279197,80.77
P340,0.033635311869667846,0.04839295644148733,30.5
P341,0.024495942902729745,0.24522388304426154,90.01
P342,0.022347905962572478,0.11252475928120483,80.14
P343,0.02837001339546235,0.20312788311000105,86.03
P344,0.06326908201213714,0.3292421407774749,80.78
P345,0.09206467693097674,0.10246166836106065,10.15
P346,0.024753220589260307,0.2000354053820099,87.63
P347,0.03869891632384277,0.24551495379042895,84.24
P348,0.036257126378974394,0.2365531965634338,84.67
P351,0.022982824677549397,0.17151204637660158,86.6
P352,0.1493564204953714,0.34666260227858425,56.92
P353,0.02898938316704927,0.14325106508714447,79.76
P354,0.046393076416635044,0.18480841264416717,74.9
P355,0.01792292576713161,0.30512399199623247,94.13
P356,0.026990020818442224,0.1541719584202816,82.49
P357,0.12980578868871132,0.2929748516245133,55.69
P358,0.0869872250789225,0.258465563316811,66.34
P359,0.10961379854441793,0.32956421161214294,66.74
P360,0.09398329065068033,0.3362734223460376,72.05
P361,0.02887975421990412,0.34464436298882334,91.62
P362,0.03728272241937138,0.23533303318378992,84.16
P363,0.026893139965717933,0.1422727025818346,81.1
P364,0.05593973618949108,0.19283103707723398,70.99
P366,0.031716379732514594,0.2063385876487289,84.63
P367,0.04012177726086648,0.056263235302669724,28.69
P368,0.054315346357567906,0.3258847834969713,83.33
P370,0.03698810384738781,0.1637706508732608,77.41
P371,0.04804026568620565,0.18855735173029833,74.52
P372,0.04481214267785212,0.14542064487187603,69.18
P374,0.03048060417304045,0.08606421368557803,64.58
P375,0.07972820327341136,0.18935431790251744,57.89
P376,0.09306524437851457,0.11220232615876632,17.06
P378,0.021862785822565397,0.1578213775831623,86.15
P379,0.05494886196779139,0.057448404917040084,4.35
P380,0.06503754564231999,0.28674841382267574,77.32
P383,0.01765389772545242,0.1882451293962246,90.62
P384,0.08507854907102966,0.230912818703218,63.16
P385,0.036086263945061675,0.14568161857783202,75.23
P386,0.025203489668343376,0.17724512318202487,85.78
P387,0.11601654786364868,0.20654028268364402,43.83
P388,0.08768097546210274,0.19417782514624854,54.85
P389,0.022853805550539223,0.1412376152561157,83.82
P390,0.021368119705055578,0.19687635936728004,89.15
P391,0.018990250793431227,0.09658786058030147,80.34
P392,0.011970089930982933,0.17989954219092447,93.35
P395,0.0066857539693755625,0.14449178413514524,95.37
P396,0.03913092627234231,0.26229391002576874,85.08
P397,0.015158764015329989,0.1656018347061588,90.85
P398,0.02038522769632491,0.14567326107080336,86.01
P399,0.07211203206448165,0.0655829439463473,-9.96
P400,0.0365370829593477,0.047106690716945884,22.44
P401,0.02363334442939814,0.14187900497730305,83.34
P404,0.060337414383811225,0.3991345318843326,84.88
P405,0.08213389029030782,0.11016470446318234,25.44
P406,0.04857964692778428,0.2118883733570844,77.07
P407,0.0473282391822613,0.41242209200618496,88.52
P409,0.012159768903921373,0.23230420060044998,94.77
P410,0.07068287560189866,0.29393179771479944,75.95
P411,0.023551430695406647,0.25818721938657524,90.88
P412,0.06646410211850129,0.16959755281063532,60.81
P413,0.06000343327664269,0.1851860776910293,67.6
P414,0.03739078269738305,0.27553672918804234,86.43
P415,0.047239848482615664,0.04907346589532555,3.74
P416,0.010984067162276212,0.18966379490769134,94.21
P417,0.09475694203361056,0.33661464924572415,71.85
P418,0.0010817914205712264,0.224816582052289,99.52
P419,0.12134275975948287,0.23367885891775717,48.07
P420,0.024874465934006284,0.22078753574888504,88.73
P421,0.15528530954078296,0.35474541670403054,56.23
P422,0.07383383891194543,0.361709479131748,79.59
P424,0.006754804941882539,0.2193603043223926,96.92
P425,0.08964454475872567,0.3297485385131681,72.81
P426,0.04027591011514155,0.05704561255688071,29.4
P428,0.0469809890607228,0.2433186154433516,80.69
P429,0.025904727283951635,0.1521396535145848,82.97
P431,0.00781809017884194,0.2085082812483965,96.25
P432,0.0924887637121351,0.2910978203541339,68.23
P433,0.04197260272473958,0.04609229130303948,8.94
P435,0.04978246162378983,0.16268757394219718,69.4
P436,0.023413102148084886,0.41438096326243384,94.35
P437,0.04509368960785941,0.15751488679347486,71.37
P439,0.03276296099976545,0.22862181143373264,85.67
P440,0.01529705848722175,0.21663754881070743,92.94
P441,0.02937427397881567,0.13410813535733104,78.1
P442,0.07320206069103218,0.29293348171007466,75.01
P443,0.015322456376074206,0.1791405976979969,91.45
P444,0.025152753492356336,0.2063909653927648,87.81
P446,0.033001363026518744,0.1404545641624384,76.5
P447,0.05372156742366351,0.25789754543550386,79.17
P448,0.12785902550837214,0.19711072580137798,35.13
P450,0.04160379547631402,0.05222980440551441,20.34
P451,0.07831340841683276,0.21516742703582215,63.6
P452,0.03772091078025829,0.19250221826168645,80.4
P453,0.023441640409328657,0.10979761905539424,78.65
P454,0.002818671311525396,0.33043504608149693,99.15
P455,0.09518142800544184,0.22840562782489354,58.33
P456,0.10527071649216256,0.09109748004743946,-15.56
P457,0.03157440398874916,0.19302688418172878,83.64
P458,0.01446072417920863,0.2109650383756255,93.15
