Program,Pvalue,Avalue,Mag
P976,1.0,0.5,negligible
P977,0.34,0.48,negligible
P978,0.04,0.41,small
P98,0.34,0.48,negligible
P980,1.0,0.5,negligible
P981,0.34,0.48,negligible
P982,0.04,0.41,small
P983,0.01,0.37,small
P984,0.04,0.41,small
P986,0.34,0.48,negligible
P987,0.08,0.43,negligible
P988,1.0,0.5,negligible
P99,0.34,0.48,negligible
P990,0.08,0.43,negligible
P991,0.34,0.48,negligible
P992,0.04,0.41,small
P993,0.34,0.48,negligible
P994,0.0,0.35,small
P997,0.02,0.39,small
P999,0.34,0.48,negligible
